Country,Total Cases,Total Deaths,Total Recovered,Active Cases,Total Cases/1 mil population,Deaths/1 mil population ,Total Tests,Tests/1 mil population,Population
Algeria,204900,5862,140467.0,58571.0,4567,131,230861.0,5146.0,44864093
Angola,62143,1650,50191.0,10302.0,1819,48,1043451.0,30536.0,34171500
Benin,24560,161,23257.0,1142.0,1960,13,604310.0,48233.0,12528917
Botswana,181251,2381,177526.0,1344.0,75135,987,1777500.0,736832.0,2412353
Burkina Faso,14586,203,14028.0,355.0,674,9,220105.0,10173.0,21635482
Burundi,19257,38,773.0,18446.0,1560,3,345742.0,28011.0,12343005
Cabo Verde,37951,347,37145.0,459.0,67322,616,210444.0,373312.0,563721
Cameroon,98402,1550,80433.0,16419.0,3593,57,1751774.0,63956.0,27390324
CAR,11469,100,6859.0,4510.0,2323,20,60228.0,12199.0,4937211
Chad,5063,174,4873.0,16.0,297,10,147854.0,8683.0,17027846
Comoros,4176,147,4009.0,20.0,4675,165,,,893288
Congo,15255,219,12421.0,2615.0,2680,38,188207.0,33067.0,5691670
Djibouti,13347,179,12971.0,197.0,13262,178,228873.0,227420.0,1006391
DRC,57269,1089,50930.0,5250.0,616,12,306299.0,3292.0,93037990
Egypt,314977,17806,265663.0,31508.0,3005,170,3693367.0,35241.0,104803423
Equatorial Guinea,12840,156,12263.0,421.0,8784,107,195087.0,133455.0,1461814
Eritrea,6764,43,6673.0,48.0,1874,12,23693.0,6565.0,3609257
Eswatini,46330,1231,44734.0,365.0,39411,1047,359920.0,306172.0,1175550
Ethiopia,356772,6103,325865.0,24804.0,3008,51,3574218.0,30136.0,118602862
Gabon,32576,205,27466.0,4905.0,14208,89,1253654.0,546763.0,2292864
Gambia,9943,339,9597.0,7.0,3972,135,103187.0,41219.0,2503388
Ghana,128368,1158,124514.0,2696.0,4024,36,1781277.0,55835.0,31902383
Guinea,30535,385,29187.0,963.0,2247,28,561618.0,41332.0,13587868
Guinea-Bissau,6123,141,5376.0,606.0,3020,70,99984.0,49315.0,2027456
Ivory Coast,60878,672,59065.0,1141.0,2237,25,1044828.0,38394.0,27213058
Kenya,251483,5198,244749.0,1536.0,4549,94,2617700.0,47349.0,55285657
Lesotho,21481,653,11906.0,8922.0,9926,302,223150.0,103119.0,2164007
Liberia,5801,286,5458.0,57.0,1114,55,128246.0,24617.0,5209632
Libya,348088,4832,274320.0,68936.0,49791,691,1724681.0,246703.0,6990914
Madagascar,42898,958,41322.0,618.0,1500,33,249510.0,8724.0,28600650
Malawi,61699,2292,56564.0,2843.0,3122,116,416889.0,21096.0,19761582
Mali,15536,555,14403.0,578.0,740,26,434372.0,20689.0,20995776
Mauritania,36509,785,35315.0,409.0,7597,163,480255.0,99932.0,4805811
Mauritius,16472,123,1854.0,14495.0,12925,97,358675.0,281430.0,1274474
Morocco,940503,14500,919713.0,6290.0,25100,387,9877277.0,263599.0,37470800
Mozambique,151046,1924,148064.0,1058.0,4666,59,921303.0,28458.0,32373942
Namibia,128187,3529,123736.0,922.0,49307,1357,723996.0,278484.0,2599775
Niger,6139,204,5836.0,99.0,242,8,163598.0,6460.0,25324412
Nigeria,208404,2761,196123.0,9520.0,980,13,3090114.0,14530.0,212669053
Rwanda,98926,1312,45501.0,52113.0,7403,98,2961540.0,221630.0,13362539
Sao Tome and Principe,3649,56,3051.0,542.0,16264,250,14689.0,65469.0,224365
Senegal,73848,1869,71950.0,29.0,4267,108,817801.0,47251.0,17307681
Seychelles,21638,118,21242.0,278.0,218286,1190,21504.0,216934.0,99127
Sierra Leone,6396,121,4393.0,1882.0,781,15,160729.0,19638.0,8184445
Somalia,21269,1180,9927.0,10162.0,1292,72,239292.0,14538.0,16459604
South Africa,2913880,88466,2802615.0,22799.0,48350,1468,18055424.0,299595.0,60266150
South Sudan,12168,130,11726.0,312.0,1071,11,239888.0,21114.0,11361784
Sudan,38824,2928,32395.0,3501.0,860,65,238579.0,5283.0,45157975
Tanzania,26034,724,,,421,12,,,61907322
Togo,25826,237,24805.0,784.0,3029,28,529581.0,62108.0,8526745
Tunisia,710322,25053,683380.0,1889.0,59307,2092,3006649.0,251035.0,11977012
Uganda,124864,3179,96321.0,25364.0,2624,67,1735671.0,36475.0,47585086
Zambia,209411,3657,205532.0,222.0,10998,192,2521115.0,132400.0,19041592
Zimbabwe,132108,4648,125842.0,1618.0,8726,307,1450916.0,95834.0,15139880
